0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.06,-0.1,0.12,-0.18,-0.12,-0.1,-0.16,0.02,0.14,0.02,0.04,0.1,-0.06,-0.08,-0.18,0.04,0.14,0.02,-0.32,0.02,-0.06,0.02,-0.12,0.18,-0.02,0.12,-0.02,5.126916064929676,4.625994825220125,3.850139917679555,5.95045975810268,4.494897639236402
1.0,1.0,1.0,-0.14,0.04,0.1,-0.02,0.1,0.16,0.04,-0.14,-0.14,0.0,0.0,0.12,0.06,0.02,-0.04,0.0,0.1,0.1,0.06,-0.22,-0.08,0.06,-0.02,-0.12,0.0,-0.08,-0.04,4.319939593447059,4.179333780581286,5.837996683849447,4.745154628023766,5.4111480317712735
1.0,1.0,1.0,0.12,0.06,-0.02,-0.12,-0.26,0.14,0.06,0.14,-0.04,-0.08,-0.12,0.2,-0.14,-0.18,-0.04,0.0,-0.16,-0.04,-0.1,-0.04,-0.1,-0.04,0.08,-0.08,-0.06,0.02,-0.08,5.077281502364984,4.696407379786039,5.614536239007294,6.465873242603735,6.811266432352648
1.0,1.0,1.0,0.08,0.04,0.08,0.0,-0.04,-0.08,-0.12,0.14,0.06,-0.04,-0.06,0.06,0.04,-0.14,0.02,0.02,-0.16,-0.14,0.06,-0.02,-0.16,-0.08,0.08,0.04,-0.1,0.08,-0.1,4.557530568064309,4.825680860313057,5.598485510039883,4.572518061931794,4.8699582183971435
1.0,1.0,1.0,0.28,0.12,0.04,0.0,-0.14,0.06,0.08,0.1,0.06,-0.16,-0.06,0.02,-0.14,0.04,-0.06,0.02,0.04,-0.02,0.0,-0.06,-0.1,0.08,0.0,-0.04,-0.02,0.1,-0.04,4.63865090745067,6.4960342165322835,3.963603702983476,3.562940239010271,4.576730285150441
1.0,1.0,1.0,0.08,0.14,0.02,-0.08,-0.14,0.34,-0.24,0.0,0.0,0.04,-0.08,0.04,0.06,0.14,-0.04,-0.08,0.12,-0.12,-0.04,0.08,-0.08,0.04,-0.08,0.04,-0.04,0.02,0.06,6.265138591907684,3.949222181048234,3.94886407166849,5.842962002129086,4.446089304413897
1.0,1.0,1.0,0.14,0.02,0.12,0.18,-0.28,-0.06,-0.08,-0.1,0.1,0.08,0.08,0.04,0.02,-0.04,0.14,0.02,-0.06,0.04,-0.02,-0.06,0.12,0.16,0.02,-0.1,-0.04,0.06,-0.02,5.737748890678027,5.23660578605121,5.439623919369794,5.144293364593478,4.202154646019916
1.0,1.0,1.0,0.08,0.22,0.18,-0.06,-0.18,0.08,-0.04,-0.08,-0.08,0.04,0.14,-0.1,-0.02,-0.12,-0.1,-0.14,-0.1,-0.04,0.0,0.1,0.14,0.08,0.02,0.06,0.0,0.18,0.02,6.559839079501682,4.545604355616038,5.3104578988647155,4.268379733902683,4.7387015048069525
1.0,1.0,1.0,0.08,0.36,0.08,-0.22,-0.06,0.12,-0.1,-0.18,0.0,-0.08,-0.18,0.22,-0.04,0.0,0.08,0.1,-0.08,0.18,0.06,0.18,-0.28,-0.08,0.04,-0.12,0.06,0.12,-0.06,4.224180416390291,3.388395005750028,5.117164149386575,3.620163201441076,5.22439784672706
1.0,1.0,1.0,0.02,0.04,-0.1,-0.18,-0.12,0.02,0.08,0.0,-0.04,0.08,-0.16,0.0,-0.1,-0.08,0.1,0.08,0.16,-0.04,-0.16,-0.16,0.16,0.18,0.0,-0.02,0.1,-0.04,0.18,7.673239013455606,5.60850699781979,3.79166684775503,4.1365925026352715,4.921409710314197
1.0,1.0,1.0,0.06,-0.16,-0.06,-0.24,0.0,-0.04,-0.02,0.0,0.18,0.02,-0.1,0.0,-0.08,-0.1,0.1,0.08,0.02,-0.02,0.02,-0.08,-0.1,0.06,0.16,-0.02,-0.2,0.08,0.0,3.9286316692692154,8.495394580877436,5.466011431625177,6.345052331141452,5.982153048375427
