0_0,0_1,0_2,1_0,1_1,1_2,decay_0,decay_1,W_0,W_1,J_0
0.44,0.584,0.296,0.028,0.016,0.02,6.5668064652816325,8.810292504870592,1.9452400498723645,5.531386432504793,0.0
0.592,0.488,0.296,-0.004,-0.12,0.044,5.117317849343706,5.561566633533856,6.513512322542289,5.161510216481569,0.0
0.492,0.604,0.288,-0.048,0.044,0.012,3.8788093084303616,6.133139790026058,4.268361861391787,6.294046135868008,0.0
0.484,0.74,0.384,-0.096,0.176,-0.008,3.1961463178187524,5.609022105163649,3.4726685418058465,7.168727854462679,0.0
0.576,0.692,0.412,-0.04,-0.048,0.0,3.2356883693306697,4.507940461262004,4.76424208441327,5.854217769682189,0.0
0.712,0.6,0.456,0.052,-0.204,0.056,3.325345191973801,3.4182645558608917,6.912520638330276,3.842318519781919,0.0
0.488,0.512,0.24,-0.1,-0.08,0.036,4.8593814336668,4.854524395356514,5.443912638163767,6.741959809509248,0.0
0.66,0.64,0.412,-0.06,-0.128,-0.012,3.4555417116401923,3.21954095759619,5.6255150158097464,5.543788562198436,0.0
0.732,0.5,0.336,0.008,0.032,0.016,7.009324697049641,2.420517103910446,4.738654179792723,4.182012809623589,0.0
0.6,0.708,0.428,-0.116,0.024,0.028,3.5140939584189947,3.9179966902836547,3.8275733176674898,5.598182988280093,0.0
0.792,0.476,0.38,0.016,-0.108,-0.028,6.324944442917088,1.7932470982961641,8.13058466387666,3.9949511323394002,0.0
0.56,0.66,0.404,-0.048,-0.14,-0.028,3.8625990291070256,4.265841969444842,5.603704705393617,4.297835934653081,0.0
0.404,0.616,0.204,-0.024,0.0,-0.016,5.411454455388962,7.3198936006958455,3.627474781399113,5.259071187474753,0.0
0.568,0.532,0.244,0.068,0.024,0.076,5.895519185073536,4.477786236670263,4.979607079397456,4.398727231833102,0.0
0.52,0.452,0.196,0.036,0.024,-0.06,7.67266986595585,6.675315168378811,1.6935684342450497,3.2055374412002537,0.0
0.52,0.688,0.416,-0.188,0.112,0.036,3.7737921102120193,5.281448026680546,3.677147654592572,6.237497302833125,0.0
0.56,0.448,0.288,-0.08,-0.088,0.072,7.042978666680574,5.150664739007788,8.144054640423665,5.56434272499762,0.0
0.468,0.616,0.292,-0.048,-0.296,0.008,2.3078232284288633,7.974165692586154,6.97529130898452,5.470071910919782,0.0
0.544,0.584,0.304,-0.024,-0.176,0.016,4.169982972201788,6.108448112434035,7.347327164915168,3.8575416999828716,0.0
0.532,0.62,0.312,0.1,-0.144,-0.02,2.9110446578108617,5.671022717772055,5.840583661408363,4.244482969061473,0.0
0.432,0.528,0.288,-0.112,0.004,0.028,5.777844014723337,5.701120575897626,4.895181017283332,8.103997651296899,0.0
