0_0,0_1,0_2,1_0,1_1,1_2,decay_0,decay_1,W_0,W_1,J_0
0.524,0.572,0.28,-0.088,0.08,-0.064,6.9168523517795375,5.571473101595684,2.6258658129986543,7.123102595522351,0.0
0.288,0.588,0.196,0.028,-0.124,-0.128,4.577794897817674,9.963913874084344,6.3815535039039135,5.987722291383771,0.0
0.612,0.332,0.2,0.068,-0.116,-0.032,7.033979540576671,4.909108106571064,7.7370474420771105,3.8405678577214633,0.0
0.408,0.76,0.336,0.024,-0.064,0.016,2.1729840712981847,9.475556036783242,4.404426805987175,3.330733372636149,0.0
0.444,0.604,0.32,-0.024,-0.196,0.068,4.299530434028592,6.053933044801794,6.7712238178131905,5.914481124969139,0.0
0.572,0.532,0.296,-0.056,-0.14,0.044,4.42715858527593,4.581465007308353,6.1076854851471545,4.104630130771708,0.0
0.5,0.532,0.24,0.044,0.052,0.0,5.97635285736457,7.774578296054571,3.7868620668349817,3.6311682342023675,0.0
0.476,0.56,0.332,0.084,-0.18,0.016,3.455320543099731,6.332601762993692,7.204212506269505,5.3874149197080055,0.0
0.384,0.544,0.192,0.044,-0.256,-0.06,4.111489418238624,7.983183210313895,7.114169651558781,4.457377884203097,0.0
0.44,0.668,0.3,-0.052,0.132,-0.08,3.035650279552228,7.108637878654211,3.761120804597314,7.322117075391722,0.0
0.52,0.472,0.272,0.056,-0.004,-0.036,6.7919074757959566,6.458564921287955,5.077181391728687,2.5646827017711815,0.0
0.492,0.372,0.24,0.028,-0.076,0.0,5.985084754480277,5.747769531078763,7.574401668483182,3.076310360648404,0.0
0.648,0.508,0.332,0.12,0.008,-0.016,6.311053082517494,4.292244495482537,4.08884167817713,2.962651086993677,0.0
0.532,0.552,0.276,-0.02,-0.144,0.044,4.825004057768222,7.1297413070370705,5.852718697750149,4.348441278231136,0.0
0.636,0.48,0.308,-0.404,-0.068,0.016,5.79732736449023,2.432962422318934,4.936464939070878,7.28267431817628,0.0
0.732,0.536,0.348,0.104,-0.024,-0.096,5.589682785189389,3.085228440025782,4.489413917884234,2.7915693464229703,0.0
0.572,0.656,0.356,-0.036,-0.284,0.048,2.556624031835358,4.900301356381193,6.476762353894129,4.6425645996460565,0.0
0.58,0.676,0.416,-0.072,-0.272,-0.056,1.9006835039415515,4.934999943415039,6.07134197765776,5.5582791483001275,0.0
0.476,0.456,0.244,0.048,-0.14,0.036,5.47558995219711,7.450714840757375,7.745341296428281,5.981808418733834,0.0
0.568,0.54,0.364,0.064,-0.244,0.036,3.582483346347403,5.05840378937398,7.502830780485852,4.652302103622153,0.0
0.516,0.472,0.236,-0.08,-0.008,0.04,7.122387175624979,7.276200226639535,5.523020154454368,3.888696112615534,0.0
0.492,0.72,0.308,-0.156,-0.96,0.148,-1.8067407824047121,4.805078987870667,9.5411277215861,8.685853928768706,0.0
0.516,0.596,0.288,-0.052,-0.12,0.028,3.8351415273094798,5.727234591850902,6.249398866659714,5.361006469140668,0.0
0.672,0.552,0.384,-0.116,-0.024,0.044,5.9283981997280355,3.7307659351033724,3.8206282209628326,5.792394765382485,0.0
