0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,10_0,10_1,10_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.522,0.106,0.076,-0.078,-0.528,0.026,-0.474,-0.052,0.074,-0.458,0.206,-0.16,-0.07,0.06,0.002,0.09,-0.074,-0.06,0.104,-0.062,-0.03,0.054,0.088,0.006,0.03,-0.03,0.044,-0.024,0.008,0.044,1.6522922032070746,1.0153428780522007,8.317345733000042,4.485671869886183,2.084847307525512
1.0,1.0,1.0,0.366,0.362,0.18,0.09,-0.514,-0.068,0.026,-0.366,0.008,-0.042,0.006,0.028,0.08,-0.328,0.008,-0.008,-0.476,-0.004,0.034,0.336,0.01,0.032,0.912,0.036,-0.038,0.284,-0.058,-0.014,-0.454,0.0,0.05488350846403123,5.140219611339582,5.0034228341691955,0.9005181611853912,5.00765005865109
1.0,1.0,1.0,0.962,0.354,0.352,0.824,-0.588,-0.544,0.656,-0.606,-0.578,0.48,0.096,0.028,0.184,0.37,0.282,0.11,0.222,0.052,-0.026,-0.086,0.04,-0.03,-0.052,0.214,0.07,0.018,0.036,0.174,-0.086,-0.332,0.4372825087127753,-2.887267678274882,6.490094857442337,0.3140702662317718,2.377300228682746
1.0,1.0,1.0,0.416,0.05,-0.018,-0.042,-0.382,0.04,-0.138,-0.044,-0.03,-0.062,0.054,-0.084,-0.042,0.008,0.022,0.04,0.088,0.004,-0.036,0.058,0.046,0.018,-0.028,0.058,0.016,-0.026,0.014,0.046,-0.038,-0.04,1.8853246355160584,2.655455567601775,7.427533307016478,3.397101915975325,4.332130450871026
1.0,1.0,1.0,0.094,0.392,0.03,-0.306,-0.542,0.2,-0.134,-0.574,0.08,0.074,-0.04,-0.022,-0.014,0.082,0.064,-0.024,-0.068,0.004,0.066,0.064,-0.042,0.052,0.37,0.018,-0.01,0.302,-0.02,-0.03,-0.244,0.018,0.35079719008633437,2.888223423448127,5.488464650942868,6.9777398479067525,3.5476538561998634
1.0,1.0,1.0,0.63,0.748,0.514,0.148,0.274,0.054,-0.038,-0.094,0.064,-0.004,-0.054,0.154,0.168,0.238,0.206,0.13,0.402,0.14,0.084,0.33,0.014,0.082,0.06,0.018,-0.078,-0.248,0.086,-0.064,-0.422,-0.002,0.42778790225772556,1.4291653285165622,1.314114092686339,1.2668352189100047,4.775936201031466
1.0,1.0,1.0,0.242,0.016,-0.002,-0.626,-0.616,0.766,-0.282,-0.126,0.172,0.034,0.082,0.312,-0.32,-0.074,0.326,-0.006,0.39,0.028,0.86,0.376,0.416,0.544,-0.4,-0.216,-0.614,-0.374,0.288,-0.688,0.17,-0.202,0.4378045277567726,-1.1998339363250263,6.9149520926904655,5.8947559255264546,4.834915040794073
1.0,1.0,1.0,0.314,0.488,0.178,-0.108,-0.102,0.054,-0.178,-0.326,0.088,0.016,-0.234,0.022,0.034,-0.024,-0.078,0.036,0.022,0.03,0.0,-0.024,0.064,-0.022,-0.098,0.044,0.012,0.006,0.058,0.0,0.082,0.006,1.1824439628386265,3.3609746744409796,3.92390338459988,4.824210014178602,3.1859251072972956
1.0,1.0,1.0,0.33,0.67,0.248,-0.154,0.354,-0.08,-0.258,0.044,-0.022,-0.146,0.0,0.094,0.016,-0.076,-0.06,0.026,-0.11,-0.056,0.046,0.006,0.056,0.032,-0.024,0.004,0.008,0.02,-0.02,0.05,0.014,0.016,1.74221494636109,2.3576537049885675,1.4742111038385302,4.9245055246758795,2.66741981156758
1.0,1.0,1.0,0.088,0.156,0.028,-0.6,-0.716,0.756,-0.032,-0.35,0.09,0.14,0.124,0.408,-0.074,-0.054,0.152,0.216,0.144,0.204,0.158,0.672,0.202,-0.346,0.062,0.032,-0.198,-0.956,0.194,0.238,-0.42,-0.118,-0.5865892797201768,0.6621949941720893,6.556977062821408,7.378488621046948,4.273108110970303
