0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9,0_10,0_11,0_12,0_13,0_14,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,1_12,1_13,1_14,decay_0,decay_1,decay_2,decay_3,W_0,W_1,W_2,W_3,J_0,J_1,J_2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.012,0.048,-0.06,-0.008,-0.028,0.008,-0.004,0.036,-0.04,0.004,-0.048,-0.004,0.064,0.02,0.048,5.752540648269723,5.322529852889136,5.35333377049633,4.711780816499932,4.604446628034443,5.43697837857834,5.028239957745302,5.013390317128344,3.7946560074344546,4.563036441179737,4.678690322431696
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004,0.008,0.044,0.048,-0.052,0.016,-0.06,-0.04,0.068,-0.048,-0.012,0.04,0.02,-0.032,0.02,3.271296295050723,5.131412264487,5.854491323131409,3.932955562259775,5.489718717463244,6.350285852462682,4.358644814715102,3.7595766924461476,3.5992778150629325,5.90473847953387,4.3687758885756836
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.028,0.02,0.0,0.024,0.028,0.028,-0.08,0.012,-0.008,0.0,-0.036,-0.092,0.008,-0.08,-0.028,3.924071849800855,6.913730656923031,5.376236846182049,4.571606654259755,7.970607329199792,4.5749298557876195,5.7559107487433865,5.849302368932319,3.449822333248318,5.352588263227608,5.595210311021909
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.048,0.052,-0.076,-0.012,0.06,-0.08,0.064,0.008,-0.048,-0.028,-0.044,0.06,-0.012,-0.008,0.008,5.173976167455288,5.882170662844675,4.758019584950165,4.855016554345153,4.605641590816345,5.818508970595128,4.356928917021655,4.18033264284845,3.5104058613685734,3.8969196226754086,5.447334477984712
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.048,0.036,0.02,0.008,0.048,-0.02,-0.036,0.064,-0.04,0.028,0.044,0.024,-0.016,0.044,0.028,5.9707477590577875,6.158908254718289,6.1985296515901345,7.228481194729508,3.4025280539443674,4.809619950891148,5.964071421008019,5.823266824611168,4.192128539075594,3.8457852013672476,3.190179427345327
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.016,0.016,-0.04,-0.036,0.02,-0.044,-0.084,0.004,0.02,-0.028,0.004,-0.008,-0.008,-0.056,-0.008,5.140127495289635,4.240936280672578,5.061119661108573,5.0415843854994185,3.5446668754732045,3.691171868341462,7.349650353072832,4.42600757130783,5.812877455547537,6.686011610248554,6.944974303235313
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.068,-0.032,-0.02,0.024,0.036,-0.048,0.076,0.104,0.036,-0.08,-0.02,-0.016,0.044,-0.024,0.004,3.5658163417910957,6.004344225258899,4.4831613064591345,5.435118166249893,3.560677131113184,4.329885028362053,4.078605604516703,4.7406453883049045,4.4123146103759225,4.806636000576728,4.874237412662903
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.008,-0.016,-0.004,-0.084,-0.044,0.02,0.076,-0.02,0.02,-0.044,-0.008,0.016,-0.04,-0.032,3.6679325015760775,3.9327463868766834,3.931649502871104,4.408934823504694,6.820876657232013,4.943369925880933,5.470099298998551,5.413366436355535,6.262618954793448,3.609555955426763,4.61178868510994
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.012,0.064,-0.004,-0.02,-0.048,0.028,-0.016,0.076,0.048,-0.028,-0.056,0.048,-0.036,-0.016,-0.036,4.623962712582728,3.8430371733204343,4.354112913288754,6.190323223564816,5.1678305403334175,6.939637352239707,3.76943377715654,3.952528422062107,5.926038014120332,5.482123329143564,5.440691469741459
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.004,0.028,-0.008,0.04,0.06,-0.044,-0.096,-0.02,0.024,0.056,0.028,0.044,-0.008,0.08,0.1,3.920389382084517,4.354351103192549,5.840780733384616,5.399151956605422,4.498626646189887,2.969000105882299,4.921258217441227,5.2981059785342755,5.845985096534198,2.5865754513259227,4.800518847146063
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.044,-0.008,0.004,-0.012,-0.04,-0.012,-0.016,0.032,-0.028,-0.032,-0.02,0.052,0.008,0.036,-0.016,4.1905977182161065,6.247556822948457,4.942045307036904,6.4487039809525,3.8265902886730485,5.418129817718758,3.890361565886736,5.0237811584233265,4.88944623309407,4.498998865002518,5.210733885634153
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.064,0.052,0.02,0.036,0.02,-0.056,0.032,0.08,-0.072,0.004,0.02,-0.02,0.044,-0.04,0.064,5.340794847809089,4.189494726595143,5.091975380939445,4.185718304116204,4.151587681663234,5.993445211663916,5.8171684040377425,3.4644966089269658,5.440716111514148,5.662030270625001,3.1381989266170605
