0_0,0_1,0_2,1_0,1_1,1_2,decay_0,decay_1,W_0,W_1,J_0
0.552,0.348,0.268,-0.032,-0.036,0.004,5.9175286468427375,4.341090407955799,5.5717063048097675,2.5777205799173153,7.052841047449897
0.496,0.78,0.372,-0.096,-0.224,0.056,1.638146477857155,5.04199237791325,4.521244846786768,5.066595386300193,2.6560274670424917
0.568,0.508,0.292,-0.176,-0.128,0.008,4.476835153936993,4.209159253308254,5.069541160209505,4.944204921876843,4.1909391527665925
0.2,0.38,0.052,0.068,-0.132,0.032,3.065388999646129,3.752150580726032,6.894155625783891,10.969626488903634,6.544434085156718
0.416,0.368,0.12,-0.168,-0.12,0.104,6.715030814688959,2.6934427783765424,5.701784800045871,6.904059578502208,5.714670899292132
0.572,0.536,0.348,0.02,-0.084,-0.08,4.7204833973210505,6.528298526578482,5.159020815422908,1.6760885989314573,4.284387802147523
0.476,0.488,0.22,0.024,-0.072,-0.024,5.120461479710145,6.152262749625521,5.877455824162632,2.5550647666728397,3.5461229679585236
0.408,0.452,0.276,-0.024,-0.036,-0.004,6.803373886415356,7.214732819713401,-0.0897261297362375,6.189976169259263,6.0251844311447105
0.52,0.596,0.308,-0.132,0.08,-0.02,4.967340151610064,5.3575150794026705,3.267197761896784,5.8090108313816025,2.2635292578592234
0.308,0.688,0.196,0.024,-0.008,-0.08,2.906298087606616,9.363767933041759,1.1236416319440483,3.7630600064387485,6.863763969168982
0.484,0.5,0.176,-0.172,-0.06,0.024,5.092643204111665,4.618832504416042,4.064690156093068,5.91942655879835,3.5491686620342624
0.312,0.392,0.128,-0.036,-0.124,-0.04,5.513379013850553,8.267250385960896,6.624495368107792,4.6683377679485645,4.878246620212191
0.48,0.636,0.34,-0.084,0.0,0.036,4.14396658973947,4.43393713227844,1.548979353836215,3.77096520787181,6.4332450060064925
0.304,0.492,0.18,-0.056,-0.004,0.068,4.783891361203116,4.69788476513037,4.084518861403984,9.34371597077704,5.897862078133567
0.332,0.596,0.216,-0.044,-0.16,0.036,2.7833419063338822,5.3710344751134365,4.096096134778626,5.828324192255406,6.604101867012103
0.648,0.172,0.124,-0.084,-0.072,-0.06,6.591129538128689,3.1007122896616512,9.992475296863336,2.2965904033809816,7.059485804695061
0.408,0.26,0.164,-0.06,0.028,0.0,8.226750711970269,4.6749030648491425,6.960408605555734,3.522480213239405,7.4117831736185975
0.608,0.516,0.308,-0.124,-0.068,0.024,6.096902645522178,3.5392225542757543,3.7580870500963393,4.96115027843219,4.004752511419514
0.512,0.392,0.128,-0.112,0.024,0.088,7.176035221168862,6.667636598584223,3.197739209873812,3.3225616671906866,3.3521538273689098
0.432,0.416,0.176,0.052,-0.096,0.052,3.878812573614434,7.220715095443248,7.787415682499818,5.4444661756699775,4.534478900966522
0.392,0.544,0.184,-0.012,0.008,-0.076,5.6916812740513825,7.018460676540753,1.5650334481559405,3.5068608076587333,4.582771411411721
0.272,0.316,0.116,-0.036,-0.076,-0.032,7.631424211677472,5.073776545314692,9.073377587566796,8.5819019832003,5.21160611672484
0.448,0.384,0.136,-0.216,-0.02,0.012,7.0184922404997065,4.438683097860333,4.58127767025138,5.925786196296803,4.957953731245741
0.572,0.432,0.308,-0.256,0.004,0.044,7.667864431533044,2.4577252211422382,2.9955559946313612,5.279231257337256,4.931072636121417
0.608,0.396,0.268,0.108,-0.048,-0.108,7.06110435622066,4.445842901097121,3.0873387677547655,2.4071573352766498,3.62086756028323
0.48,0.472,0.224,-0.152,0.028,0.068,6.281522926046282,1.7978317715957908,4.544344038472439,6.690898238106886,6.870024996253227
0.416,0.364,0.172,0.008,0.072,0.096,3.898017397935565,6.944901184133817,5.647164743064137,3.38698120881429,8.716942856870324
0.528,0.524,0.276,-0.04,0.04,-0.056,6.189841351154399,4.959577867931501,1.7968087364593175,4.328368053322318,4.764060692147261
0.484,0.564,0.248,-0.056,-0.092,-0.004,5.226159990558176,5.893306306910758,5.904821710975851,5.048337802824355,3.421065730905935
0.68,0.468,0.292,0.092,0.016,0.004,5.802042721279873,4.236445546162827,5.094058679051769,2.8421996345876783,1.7930107558151307
0.48,0.624,0.28,0.0,-0.116,-0.076,3.7723290277004686,6.639283370970932,2.7058796413250192,4.301700862476245,4.150554287263226
0.428,0.544,0.228,-0.148,-0.088,0.02,4.943291316620041,5.33422973900297,3.999388437040305,4.793509353663924,3.828853452186971
0.484,0.452,0.256,-0.048,-0.016,0.136,8.207896204035892,4.563444301915072,3.749235690504288,2.8714214650697745,5.655351586422496
0.576,0.732,0.46,-0.124,0.032,-0.02,2.9644208903425504,4.341164666939421,-0.36653792462186896,4.374828255479533,6.158885865618042
0.232,0.376,0.072,0.004,0.032,0.052,3.852037795033179,3.7754595183971253,5.468911783771821,7.46182444765873,9.154353766597977
0.6,0.44,0.304,0.056,-0.056,-0.032,4.255424353715906,3.497837272674926,4.653091835792824,1.157208068482034,8.028819321964095
0.476,0.524,0.272,-0.008,-0.092,0.004,5.180116564298833,7.706921074075209,4.122746618512043,1.4847971926323984,3.4693179565903174
