0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,-0.112,-0.3616,0.08,-0.0248,-0.124,-0.0288,0.004,0.2128,0.0152,0.0,-0.1296,-0.0304,1.1983872390932266,4.4989804862747285,6.001974061984554,3.735383325018014,4.835195127596689
1.0,1.0,1.0,-0.1608,-0.3304,0.032,0.0072,-0.3528,0.016,0.028,0.5288,0.0384,0.0304,-0.1448,0.0264,0.5332164265977517,4.476489231737012,5.095002756023072,6.954826041824974,0.1702154838257215
1.0,1.0,1.0,-0.2376,-0.0928,0.2424,-0.2632,-0.0336,0.0216,-0.0224,-0.044,0.0216,-0.0952,-0.0192,-0.012,2.0715797555744824,0.5633119620217726,6.617108804727141,6.128886893934022,6.448562833906532
1.0,1.0,1.0,-0.0952,-0.0032,0.0424,-0.2176,0.004,-0.0168,0.0088,0.0096,-0.0312,-0.0288,-0.0152,0.0088,5.692656289661878,1.5034717372175839,7.8081633805458255,5.605347347910461,7.157443829241801
1.0,1.0,1.0,-0.0856,-0.0296,0.0352,-0.0408,0.0168,-0.0016,0.0192,-0.0032,0.0064,-0.0016,-0.0192,0.0,3.335413446559642,4.174439786479271,1.8772696110725766,5.440817758463133,5.237508776608954
1.0,1.0,1.0,-0.1296,0.208,-0.0448,-0.012,-0.0264,-0.0496,0.0208,0.1592,0.0264,-0.024,0.0184,-0.0552,1.1735081060169728,4.198687884452035,1.0737031777256445,6.547682110967422,3.7523506624689977
1.0,1.0,1.0,-0.3344,-0.136,0.0416,-0.2976,-0.0072,0.0104,0.0576,-0.028,-0.0344,-0.0192,0.0056,0.0056,3.728108158200584,0.29928882100685605,4.386575222256319,3.8012504278896344,2.5346686166589554
1.0,1.0,1.0,0.008,0.0096,-0.0016,0.1,0.0056,-0.0032,0.0024,0.0192,0.0024,0.0312,-0.0032,0.0056,5.568507383801084,2.531144574046515,2.0637047800696324,7.337674366240748,8.926414178589717
1.0,1.0,1.0,-0.1416,-0.0928,0.0104,-0.0176,-0.0104,0.02,0.0136,-0.0136,0.0416,-0.0016,-0.0176,-0.0256,4.077082489694039,3.89921147778232,4.8357403094324765,4.836838027898379,0.9746238872687609
1.0,1.0,1.0,-0.2736,-0.3656,0.38,-0.0576,-0.1136,0.0832,0.0032,-0.1384,0.0248,0.0384,0.2624,0.0144,0.3969153886403691,1.1978399543318206,3.980417990667762,4.168903613058968,5.066817136844845
1.0,1.0,1.0,-0.1224,-0.1752,0.3568,-0.152,-0.132,0.0264,0.0392,-0.3872,-0.0424,0.02,-0.556,-0.0256,-0.7632212020942402,1.629869267839731,2.780242866668482,3.65740310079158,6.773977197293261
1.0,1.0,1.0,-0.5456,-0.6216,0.652,0.004,0.0304,0.452,0.2696,0.416,0.2776,-0.2912,-0.5376,0.168,0.36049822110355345,0.667658524190855,6.135704661849809,6.464353391735168,3.909402126713613
1.0,1.0,1.0,0.0064,-0.04,0.0288,-0.0152,-0.0248,-0.0064,0.0088,-0.0096,-0.0072,0.0112,-0.0216,-0.0024,2.8967014484589986,7.080852954576798,2.495836446694395,2.6251112505811456,4.101730053747859
1.0,1.0,1.0,-0.0272,-0.0408,0.0408,-0.0584,0.0024,-0.0032,-0.0016,-0.0352,0.0256,0.0248,0.0368,-0.0056,6.773451519390781,3.581309362529376,5.9414188090556115,9.944802154441778,2.947553282389641
1.0,1.0,1.0,-0.0784,0.0384,-0.0384,0.04,-0.0024,-0.012,-0.0024,-0.0096,-0.012,0.0304,0.012,0.036,5.328075820360535,4.205057907591641,0.05265969957874361,4.189277639510628,4.0538246134658324
1.0,1.0,1.0,-0.204,-0.2576,0.2168,-0.0192,-0.0728,0.0264,-0.0456,-0.052,-0.0304,0.0344,0.0688,0.0008,1.213565771971994,1.7786488713393875,6.937061571826397,3.598611264350227,5.21698121216678
1.0,1.0,1.0,-0.336,-0.0704,0.0144,-0.2456,0.0128,0.0056,-0.1344,0.0008,0.0408,0.1128,-0.0128,-0.0008,6.294167411062582,0.13752853285718736,3.804561335791176,3.6642875588645305,2.919401385773272
1.0,1.0,1.0,-0.088,-0.0096,-0.0016,-0.0208,0.0304,0.0064,-0.0112,0.0,-0.0016,-0.0336,0.0024,0.0008,5.281524617403323,3.6690719407964014,7.349610634026415,7.128335893889644,5.723477243692524
1.0,1.0,1.0,-0.1136,-0.6032,0.0912,0.0128,0.0048,0.0096,0.0056,-0.1936,-0.0136,-0.0328,0.8416,-0.0248,-0.01663368111471275,3.695976054616776,4.513417829089277,2.992619383027954,3.6862063231425815
1.0,1.0,1.0,-0.0568,-0.0976,0.0184,-0.0248,0.0096,0.0168,0.0296,0.0152,-0.0144,0.0104,-0.0416,0.0312,4.0392090624628905,5.304838724278284,8.253902282778844,3.7691303305241215,4.852439530316812
1.0,1.0,1.0,-0.788,-0.1112,0.1536,0.3144,-0.1384,-0.272,0.1576,-0.04,-0.0968,-0.416,-0.0624,0.048,1.3002618805318147,-2.6702794781123576,3.152248011830026,7.103857472294738,3.0888932644681004
