0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,-0.243,-0.027,0.046,0.009,-0.007,0.004,-0.103,-0.029,-0.012,0.106,0.032,0.02,-0.003,-0.005,0.022,7.283446806519119,1.7359526498237798,4.040301624238136,4.831297987487112,5.082524382907512
1.0,1.0,1.0,-0.101,-0.121,0.056,0.028,-0.013,-0.001,0.003,-0.016,0.027,0.003,-0.014,-0.027,-0.018,-0.033,-0.003,2.9451409174067824,3.4245345098406426,4.027905824881674,3.3711268029199823,6.822516079311573
1.0,1.0,1.0,-0.276,-0.177,0.167,0.101,-0.06,-0.039,-0.495,0.004,-0.011,0.263,0.004,0.071,-0.023,0.014,0.015,3.3529690045230756,0.6909233815759834,6.151016358270208,3.8448162666692154,5.9486714747604825
1.0,1.0,1.0,-0.039,-0.138,0.015,0.079,0.029,0.004,-0.078,-0.033,0.023,-0.068,0.01,0.028,0.015,-0.04,0.001,4.049946295121506,1.83818906425667,4.041714522483993,2.6732094809604092,5.65266192092548
1.0,1.0,1.0,-0.041,0.231,0.0,-0.04,-0.083,-0.003,0.001,-0.04,0.015,0.035,0.006,0.009,0.028,-0.013,0.011,2.945348050759561,7.129579879220518,2.202119838799465,4.2912022967095576,1.5577876181783172
1.0,1.0,1.0,-0.762,0.209,-0.251,0.225,-0.011,0.018,0.191,0.004,-0.037,-0.221,0.042,-0.005,-0.066,-0.006,-0.012,3.636120833512049,-0.37273280470537706,0.4620541990302458,6.930453746790976,4.029836782737729
1.0,1.0,1.0,-0.16,-0.08,0.042,-0.072,-0.012,-0.022,0.036,-0.037,-0.007,-0.01,-0.013,-0.001,0.017,0.027,-0.02,4.739764753921003,3.031843837767474,3.5682428283754586,5.411801933972176,6.778301174149976
1.0,1.0,1.0,-0.473,0.106,-0.119,-0.068,0.132,-0.356,0.101,0.329,-0.01,0.166,-0.572,-0.142,-0.124,-0.234,0.192,0.18109767293441248,0.5501897971534704,1.7020333856515362,8.749867116970137,5.515462126199418
1.0,1.0,1.0,-0.176,0.007,0.023,-0.012,0.008,0.008,-0.026,-0.005,-0.013,0.007,0.006,0.023,-0.001,-0.015,-0.024,5.392177300760299,2.6652030805030544,1.3244338397920812,4.488539036883204,6.7432619804445775
1.0,1.0,1.0,-0.21,-0.038,0.022,-0.059,-0.007,-0.022,-0.086,0.0,-0.006,0.059,-0.005,0.02,0.037,0.006,-0.043,6.3383215715275805,1.5439078831880289,5.187550673604029,4.4359433322697335,6.8114023766842875
1.0,1.0,1.0,-0.092,0.16,-0.018,-0.029,-0.663,0.058,-0.031,-0.146,0.015,-0.01,-0.055,0.029,0.012,-0.314,-0.038,-0.7379551467344463,4.233432023815745,3.220505437413302,5.39932134696958,2.6219078566819283
1.0,1.0,1.0,-0.176,-0.653,0.287,0.062,-0.12,-0.214,-0.274,0.545,-0.203,0.06,-0.371,-0.025,0.06,0.054,0.002,-3.00907355000737,1.1569467945260359,8.212088375919135,3.6823404531601343,5.463344658007893
1.0,1.0,1.0,-0.112,-0.013,0.035,-0.345,0.084,-0.041,0.158,0.005,0.011,0.046,0.011,0.005,-0.044,0.029,0.009,3.3431090921892213,1.5401157168956523,9.413453414324824,5.275577371985692,8.444484846472543
1.0,1.0,1.0,-0.306,-0.09,0.062,-0.081,-0.054,0.061,0.097,0.042,-0.003,-0.036,0.016,-0.012,0.0,0.006,0.036,4.489093304712963,2.0971163251144556,6.529544149552133,7.5783878832043,6.038197776299578
1.0,1.0,1.0,-0.111,-0.287,0.054,-0.031,0.006,-0.025,-0.028,0.01,-0.046,0.004,-0.019,-0.021,0.009,-0.01,0.001,2.5138752284028345,3.3129781471730766,6.466829046722198,4.061118856698956,4.538017349703141
1.0,1.0,1.0,-0.062,-0.112,-0.01,0.013,-0.084,0.013,-0.017,-0.04,0.015,0.001,-0.015,0.03,0.0,0.039,0.019,2.276009539981283,4.882686934343,3.7957428430432683,4.6276987501948135,4.253594849587086
1.0,1.0,1.0,-0.168,-0.033,0.071,-0.089,-0.018,-0.013,0.105,0.013,-0.004,-0.048,0.027,-0.023,0.03,0.034,-0.01,5.818290260964263,2.447030550596575,4.636542760700936,5.231639793034395,7.224808054403087
1.0,1.0,1.0,-0.253,-0.612,0.261,0.028,0.121,0.015,-0.008,0.24,-0.016,0.029,-0.314,-0.031,0.016,0.247,-0.003,0.8117911805171936,2.6129457661620346,7.545823510325304,9.770487176846995,4.452359806400891
1.0,1.0,1.0,-0.234,-0.184,0.262,-0.244,-0.111,0.059,0.186,0.067,0.033,0.027,-0.02,0.013,-0.08,-0.012,0.03,2.3594871589458037,1.7237252266048002,5.289795251785411,5.924292266936172,7.6962621260601765
1.0,1.0,1.0,-0.248,-0.163,0.059,0.01,-0.039,0.031,-0.002,0.058,0.014,0.01,0.02,0.004,-0.011,0.011,-0.008,4.608077252120525,3.346411116545066,5.988281256108333,6.610269651898392,4.5627708942585565
1.0,1.0,1.0,-0.026,-0.402,0.046,0.003,0.088,-0.023,0.001,0.036,-0.017,-0.031,-0.042,0.017,0.003,0.038,0.017,2.2566711171141987,7.2862512539934885,7.93022858894551,5.942548272554179,3.9374968261172043
1.0,1.0,1.0,0.082,0.035,0.005,-0.068,-0.05,0.04,-0.018,0.006,-0.026,0.035,-0.067,0.0,-0.019,0.005,0.018,4.789414496583842,4.202184471735565,3.5374654979466484,3.722458402144382,1.056751529672975
1.0,1.0,1.0,-0.176,-0.142,0.022,0.016,-0.015,0.051,0.02,-0.004,-0.018,-0.029,-0.036,-0.023,-0.013,-0.016,0.007,4.446050253701742,4.107819367997452,6.365748865551833,6.572762097335962,6.242595596883723
1.0,1.0,1.0,-0.158,0.057,-0.007,-0.456,0.139,-0.071,0.254,-0.015,0.001,0.128,-0.001,0.023,-0.171,-0.003,-0.014,2.870159064833215,1.1068993945125767,0.7763650758489229,5.544343917238895,8.453114551459668
1.0,1.0,1.0,-0.106,-0.274,0.072,0.002,-0.06,0.008,0.018,0.092,0.042,-0.018,0.002,-0.036,-0.046,-0.031,-0.045,2.6362657317905294,5.194401957889828,7.20556523582006,7.579135586152724,5.933808257551998
1.0,1.0,1.0,-0.455,-0.148,0.243,-0.602,-0.028,0.044,0.919,-0.007,-0.004,-0.238,0.01,-0.028,-0.598,0.014,-0.026,4.678697584952183,-1.522294138741242,6.247923444685234,6.09836030317656,7.03705362184358
1.0,1.0,1.0,-0.21,-0.157,0.185,-0.27,0.011,-0.041,0.034,-0.101,0.001,0.025,-0.041,0.016,0.018,0.062,0.026,1.9230885385262573,1.7966783424763626,3.5063390365717915,6.856918611500541,8.111186209526576
1.0,1.0,1.0,-0.083,-0.166,-0.001,-0.008,-0.029,-0.005,-0.001,-0.04,0.007,-0.021,0.002,-0.009,0.01,0.026,0.0,4.080181384141277,5.316232684630642,5.3837730365690675,5.318387791564083,4.160595649679238
