0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,-0.02,0.1304,-0.0072,-0.0036,-0.036,0.0092,1.5348427002148748,4.83386873885125,6.982968914913324,5.802870863510929,7.321236304551979
1.0,1.0,1.0,-0.0656,0.0224,-0.0024,-0.0296,0.0292,-0.0084,5.868771500584701,2.7806618882403846,1.128356965581896,5.1224362343478385,8.288813771859214
1.0,1.0,1.0,-0.064,-0.0016,-0.0056,0.49,-0.002,0.0,5.310550320096423,-1.3198070348313422,5.423926533410028,7.187394490045641,4.298145364724686
1.0,1.0,1.0,0.012,-0.0072,0.0208,0.7196,-0.0024,-0.0108,5.46035438689135,-0.5282317144276338,4.139347043379177,7.552296486650324,3.902578581354779
1.0,1.0,1.0,0.0116,0.0064,-0.0076,0.0132,-0.0308,-0.012,3.096546333393596,7.220061356172183,4.253468007868534,4.244186540543505,4.253057134180542
1.0,1.0,1.0,-0.0532,-0.0172,-0.0112,-0.0208,0.016,-0.0112,5.123661875606668,3.6907229384741775,4.7981005575955376,4.562570495582017,5.61928504737981
1.0,1.0,1.0,-0.052,-0.0196,0.0132,0.7168,-0.012,0.0056,3.432880884371243,0.024296600568241455,6.935220231898007,4.277173411715376,4.313232112557626
1.0,1.0,1.0,0.0016,-0.0272,-0.0088,-0.0276,-0.0236,-0.0168,2.3604561515407454,3.682654125124733,4.988291567922043,7.722510598078756,4.496976061099817
1.0,1.0,1.0,0.0076,0.016,0.014,-0.0052,0.0088,-0.0012,6.048045167667539,6.226173312095214,5.879039837284823,7.282719939376897,1.6665823787821377
1.0,1.0,1.0,-0.0088,0.0128,-0.0024,0.0092,-0.01,0.0,2.494005375687476,5.691571608121827,4.758982908349625,4.412856473445016,2.4889620359291658
1.0,1.0,1.0,0.2508,-0.0096,-0.0028,0.036,0.0284,0.0212,5.905246614118355,0.5653280746170419,2.2535808592736246,7.8876100274859064,2.515312304086118
1.0,1.0,1.0,-0.0024,0.494,-0.0148,-0.0184,-0.082,0.0108,0.2346107716770356,4.530920861208587,9.640032395645218,4.964939884763781,5.764334572898901
1.0,1.0,1.0,-0.2588,0.0104,0.01,0.0164,0.0084,-0.0032,4.62424711767332,1.1375473849375002,2.345524007206067,5.610411431515086,6.2149215355524365
1.0,1.0,1.0,-0.0044,-0.0168,-0.006,0.0028,-0.0112,0.006,4.654877706168039,0.7468119711624102,4.19644292019827,3.083350284706638,3.872051461819445
1.0,1.0,1.0,-0.8588,-0.042,0.024,0.5452,-0.0096,-0.0164,5.649183378465334,-0.025455615867710613,4.792735148774435,3.5276650805057628,-0.32129358983309064
1.0,1.0,1.0,0.0416,-0.0244,-0.0284,0.008,0.004,-0.0072,4.9752348326286295,2.5074255653858404,6.127462524047301,5.355192485663192,2.8104397305355424
1.0,1.0,1.0,-0.3632,-0.0652,0.0068,-0.674,0.02,-0.0004,3.156202745663372,-0.5129877656089512,5.162738768854097,5.744987409611693,7.524754701078862
1.0,1.0,1.0,0.022,0.1264,0.0556,-0.0028,-0.35,0.0288,0.5621958147081472,2.517734420370587,5.960598047163663,5.133942002412099,3.50996504430094
1.0,1.0,1.0,-0.064,0.2912,-0.1328,-0.0092,-0.2656,-0.0012,-1.7866790712061054,1.9252294101204308,2.316382462192087,4.42140385556129,4.912332041508175
1.0,1.0,1.0,-0.3112,-0.052,0.008,0.02,-0.0044,0.0076,2.7521889604830934,1.1795955862654763,6.1421460401740235,4.260045452148951,6.424823142870369
1.0,1.0,1.0,-0.1748,-0.0324,-0.0048,-0.098,-0.0064,0.0028,5.31590129546702,1.173496946090006,1.2866139931926437,5.091591998152453,5.091165690223449
1.0,1.0,1.0,-0.0004,-0.0176,0.0148,-0.0148,0.0788,-0.0112,1.6224966850283724,4.088572382350115,8.21174413056952,7.6706181806260405,3.8312888101709923
1.0,1.0,1.0,0.0544,0.0308,0.0068,0.3836,0.0612,0.0528,1.366427365517225,0.4046090088822907,4.833279098459998,4.706111080636412,2.9117380454804596
1.0,1.0,1.0,-0.0028,0.0128,0.0036,-0.0272,-0.002,-0.0044,4.24851208902359,3.4705617256747923,4.181819410397621,5.373414034873327,3.8253072782792334
1.0,1.0,1.0,-0.232,-0.2948,0.1916,-0.024,-0.0852,0.0156,0.8505434525429449,0.7537295325986655,5.0081955727705365,4.1588273849006,5.663027597871349
1.0,1.0,1.0,0.004,-0.0136,0.0,0.0144,-0.0012,0.0028,3.9655628535144785,6.499489720849814,6.5891088592843055,7.309683557801155,5.046919536827539
1.0,1.0,1.0,-0.0444,0.046,-0.0184,-0.0176,0.004,-0.0152,3.1132335030440914,3.407135336622132,2.2029459959010507,4.839492460960334,5.254107571976882
1.0,1.0,1.0,0.0056,-0.012,0.0056,0.0152,0.0056,0.004,5.156688865305023,6.536953100738329,6.421275600139431,8.456271641359008,8.534346704202806
1.0,1.0,1.0,-0.1088,-0.0336,0.004,-0.0008,-0.008,-0.0112,3.733770906292257,1.8361955892004513,4.065910387430779,3.893148190106567,6.25159702830524
1.0,1.0,1.0,0.0244,-0.012,0.0516,0.0144,-0.02,-0.0048,2.2128989581284992,1.0614970143875402,5.560688252234035,5.0832642494620455,3.827012733082789
1.0,1.0,1.0,0.002,-0.0276,0.0056,-0.0048,0.0048,0.0,4.714852054350324,6.014048552276612,5.6602394796314215,9.367589379707308,5.879617521540447
1.0,1.0,1.0,-0.0504,-0.0068,-0.0212,0.0092,0.026,-0.012,7.05741523289644,3.1872279309239504,2.6891292965987796,5.989342472775969,5.923886310760612
1.0,1.0,1.0,0.022,0.0132,0.0024,-0.0056,0.0016,-0.0328,3.235456327686163,4.7176421496881895,2.8261346556255624,9.25761913093273,6.5642990828316075
1.0,1.0,1.0,-0.5844,-0.3828,0.2128,0.3184,-0.668,-0.2232,-0.8852204768983376,0.6173295828322147,5.617771287201056,4.468382382508238,7.7445298578346335
1.0,1.0,1.0,0.0144,0.0568,0.004,0.012,-0.0012,-0.0188,2.837726467201832,5.0666065875643005,6.400741326536639,6.489778188465629,2.2053795486655052
1.0,1.0,1.0,-0.6636,-0.0708,0.0528,-0.1228,0.0068,0.0024,2.6276472720220387,-1.1160225751683308,5.199186256470688,5.223485057654261,7.708462101141069
1.0,1.0,1.0,0.028,-0.9308,-0.0324,0.0348,0.7668,0.028,-0.42542488895809916,4.130471529511167,3.4072101230421703,6.390280232849336,0.32872426004763877
1.0,1.0,1.0,-0.0476,-0.0024,0.0012,-0.006,-0.0168,0.0116,4.215831777552937,3.557495365224369,6.287869216532646,4.290170085048199,7.111860142453615
1.0,1.0,1.0,-0.016,0.2332,-0.0468,-0.0036,-0.176,-0.0316,0.5849477535450318,3.5805562426159256,2.031278948652214,5.634574523562191,5.108768003166435
1.0,1.0,1.0,0.008,-0.0276,-0.0132,-0.0048,-0.0272,-0.02,4.566883058391458,6.003561780849462,4.659233103253548,5.5200570107397,6.306379157363665
