0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,10_0,10_1,10_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.386,0.11,0.06,-0.598,0.002,-0.012,-0.686,0.044,-0.062,0.006,-0.022,0.052,0.252,0.01,0.03,0.076,0.01,0.086,0.034,0.046,-0.028,0.212,0.042,-0.05,0.162,-0.036,0.002,-0.362,0.034,-0.024,9.085036980571303,0.17950517914954434,2.814671557428195,5.979480962240441,2.985197511713023
1.0,1.0,1.0,0.172,0.132,-0.016,-0.046,-0.142,0.1,-0.016,-0.02,-0.024,-0.002,0.05,0.008,-0.004,-0.026,-0.002,-0.044,0.008,-0.008,0.0,0.052,0.056,-0.012,-0.022,-0.01,0.034,0.0,-0.002,0.03,0.008,-0.018,4.08223449704248,7.949286280651702,5.63048032715742,4.281551468116146,4.907457031966185
1.0,1.0,1.0,0.038,0.124,-0.03,-0.146,-0.372,0.078,-0.024,-0.092,0.0,-0.03,0.024,0.066,0.02,-0.126,-0.002,-0.018,0.0,0.01,0.036,0.034,0.034,0.034,-0.002,-0.004,-0.042,-0.068,-0.006,0.046,-0.042,-0.02,2.114244426124977,4.77961456974068,6.43184870521912,7.677107926857811,4.73560791780595
1.0,1.0,1.0,0.1,0.046,-0.054,-0.104,-0.17,0.006,-0.024,-0.004,0.016,0.028,0.004,-0.048,0.008,-0.02,0.028,0.018,-0.048,0.022,-0.004,0.05,-0.002,-0.018,-0.024,-0.03,0.018,0.02,-0.03,0.036,0.04,-0.004,4.340891784525073,7.165226100587161,8.028320116862137,6.278798747659997,3.0428793698869843
1.0,1.0,1.0,0.258,0.264,0.13,-0.056,-0.34,-0.016,-0.076,-0.234,0.062,-0.05,0.034,-0.028,-0.03,0.122,-0.024,0.04,0.048,-0.028,0.03,-0.03,0.004,-0.014,0.018,-0.096,-0.004,0.03,0.046,0.018,-0.024,0.022,2.5069135462848924,4.668369074034179,6.9241136815261175,4.914799094194919,1.6458355850112918
1.0,1.0,1.0,0.384,0.132,0.104,-0.394,-0.068,0.046,-0.52,0.014,-0.014,-0.108,-0.002,0.034,0.188,0.06,0.016,0.098,0.07,0.012,0.046,-0.048,-0.058,-0.01,0.038,-0.024,0.036,0.04,-0.012,-0.04,-0.022,-0.018,7.439007899510788,1.1514671036928603,5.967811272808115,6.139058261433071,2.2618015036363657
1.0,1.0,1.0,0.138,0.224,0.002,-0.188,-0.252,0.032,-0.066,-0.118,-0.012,0.068,0.004,-0.04,0.032,0.002,0.002,-0.016,-0.006,0.022,0.016,0.072,-0.024,-0.068,0.024,-0.02,-0.022,-0.022,-0.012,0.022,0.002,0.044,2.7831818213162154,4.463047008066958,5.783273922093084,6.292592651400282,3.734148975577922
1.0,1.0,1.0,0.286,0.21,0.028,-0.014,-0.204,-0.002,-0.044,-0.072,0.012,0.012,-0.006,0.014,0.014,-0.002,0.012,-0.018,0.006,0.032,0.028,-0.062,0.014,-0.016,0.018,0.01,0.04,0.028,-0.012,-0.038,0.022,0.004,4.336285620060287,6.1104320708285735,6.194114417995892,4.676441396550539,1.5406798869854272
1.0,1.0,1.0,0.088,0.216,0.052,-0.172,-0.156,0.064,-0.04,-0.01,0.022,0.046,0.008,0.042,-0.022,0.018,0.016,0.034,0.012,0.022,0.014,0.02,-0.014,0.028,-0.042,0.042,-0.03,-0.01,-0.024,-0.012,0.014,-0.026,4.2541336460978645,3.4866668431335492,5.092311066192038,5.919023609802209,5.004922206106325
1.0,1.0,1.0,0.154,0.068,-0.034,-0.444,-0.432,0.296,-0.178,-0.22,0.034,0.12,0.17,0.062,0.0,0.026,0.07,0.046,-0.07,-0.028,0.104,0.05,0.03,0.03,-0.008,0.006,0.038,-0.124,-0.01,-0.026,-0.032,0.002,1.5950763142549906,2.1112755961359184,7.105650214023527,7.196594149159839,3.5204549816613135
1.0,1.0,1.0,0.164,0.278,0.046,-0.044,-0.034,0.05,-0.02,-0.012,0.024,-0.02,-0.022,0.026,-0.026,-0.052,-0.026,0.026,0.022,-0.012,0.018,0.074,0.068,0.018,-0.036,-0.03,0.008,0.032,0.02,-0.076,-0.04,-0.004,5.440444505118939,6.652076231826738,5.0451414186482095,5.08731114200849,2.1635405016435714
1.0,1.0,1.0,0.346,0.496,0.214,-0.218,-0.164,0.018,-0.204,-0.29,0.138,-0.074,-0.06,0.002,-0.058,0.028,0.054,0.022,-0.052,0.03,-0.01,-0.044,0.082,0.054,0.02,-0.066,0.056,-0.008,-0.04,-0.054,0.04,-0.01,1.7576127065263694,2.466976325606491,4.056601794232909,4.798863093161982,3.768627852767459
1.0,1.0,1.0,0.066,0.044,-0.03,-0.056,-0.128,0.044,0.05,-0.024,0.034,0.026,-0.042,-0.016,-0.01,-0.016,0.03,0.014,0.084,0.026,-0.032,-0.03,-0.018,-0.004,-0.012,-0.06,0.038,-0.002,-0.012,-0.002,-0.006,-0.04,3.7934068122201414,4.84110927414991,5.557383257298566,4.908406218040876,7.722006731499385
1.0,1.0,1.0,0.064,0.198,0.042,-0.236,-0.008,0.076,0.004,-0.022,0.006,0.014,-0.034,-0.008,0.02,0.008,-0.028,0.048,0.014,0.03,0.0,0.012,0.0,-0.034,-0.038,-0.036,-0.014,0.008,0.066,-0.058,-0.04,-0.014,7.716468237511608,4.811223368739149,4.084452901538581,8.47884542620945,1.473545170314738
1.0,1.0,1.0,0.162,0.352,0.114,-0.014,-0.27,-0.016,-0.008,-0.28,0.064,-0.034,-0.042,0.06,0.026,-0.058,0.012,-0.058,-0.124,0.002,0.022,-0.05,-0.036,-0.024,0.06,-0.092,0.048,0.112,-0.004,-0.07,0.02,-0.074,1.8641769724659025,6.0508771705180155,4.386177526914898,3.6368170039960175,4.977123939150596
1.0,1.0,1.0,0.372,0.146,0.062,0.086,-0.168,0.026,-0.086,-0.102,-0.024,0.012,0.016,0.0,-0.014,0.07,-0.048,0.008,0.068,0.008,0.016,0.01,-0.038,0.018,-0.01,0.052,0.024,0.006,0.006,0.026,0.02,-0.018,4.197586805717453,5.044750857696385,6.803512158079025,3.218113131943441,1.7007523024092341
1.0,1.0,1.0,0.144,0.096,0.02,-0.134,-0.108,0.058,0.0,0.028,-0.048,-0.032,-0.004,-0.04,-0.056,-0.042,0.05,-0.026,-0.018,0.02,-0.052,0.008,-0.052,0.016,0.018,-0.006,0.03,-0.004,0.05,0.004,0.006,-0.002,4.9864776604077345,3.848277011855782,3.475692881888965,3.9338507011092254,7.611544996396919
1.0,1.0,1.0,0.216,0.262,0.026,0.012,0.024,-0.028,-0.056,-0.05,-0.026,-0.056,0.006,0.066,0.012,0.034,-0.006,0.05,-0.056,0.006,-0.008,-0.004,-0.032,-0.026,-0.024,0.014,-0.028,-0.036,0.06,-0.014,0.092,0.002,7.70298142680282,8.475203535604091,2.9012183792993187,2.7830730516672473,2.4947934628508626
1.0,1.0,1.0,0.314,0.324,0.078,-0.15,-0.096,0.018,-0.048,-0.038,0.046,0.008,0.104,-0.048,-0.052,-0.03,0.014,-0.09,-0.106,-0.064,-0.068,-0.048,-0.004,0.03,0.006,-0.048,0.004,-0.036,-0.032,0.024,0.018,0.038,2.439881131621991,2.7641004846800814,3.3467346323157665,3.8291511682347386,6.087288079143085
1.0,1.0,1.0,0.24,-0.132,-0.112,-0.152,-0.034,-0.014,0.048,0.028,-0.044,0.018,0.032,0.034,-0.106,0.028,-0.034,-0.056,-0.014,0.01,0.004,-0.048,0.0,0.002,0.03,-0.048,-0.032,0.0,0.004,0.002,0.034,0.0,5.76481886039981,2.680560728027145,9.58378067069874,3.640711027395337,7.307933206218224
1.0,1.0,1.0,0.476,0.354,0.206,0.148,0.0,-0.032,-0.04,-0.06,0.012,-0.078,-0.028,-0.042,-0.024,0.06,-0.004,0.048,0.0,0.0,0.044,0.068,-0.012,0.0,0.054,0.026,0.018,0.014,0.016,0.002,-0.002,-0.012,4.517154161133251,3.319358510120648,3.4406088836529074,2.121702139795769,3.338298426084614
